population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
CF,Deep,6,CF 3-6,7/15/17,196,22,19,10,10,NA,NA,NA,NA,NA,NA,NA,NA,29,14.5,0.91
CF,Deep,6,CF 3-6,7/26/17,207,22,12,11.5,10,NA,NA,NA,NA,NA,NA,NA,NA,22,11,0.66
CF,Deep,6,CF 3-6,8/4/17,216,22,12,14,12.5,NA,NA,NA,NA,NA,NA,NA,NA,24.5,12.25,0.68
CF,Deep,6,CF 3-6,8/12/17,224,22,10,14,12.5,5,5,NA,NA,NA,NA,NA,NA,27.5,9.17,0.67
CF,Deep,6,CF 3-6,8/20/17,232,22,10,14,12.5,5,5,NA,NA,NA,NA,NA,NA,27.5,9.17,0.67
CF,Deep,6,CF 3-6,9/2/17,245,22,0,14,12,5.5,5.5,NA,NA,NA,NA,NA,NA,17.5,5.83,0.42
CF,Deep,6,CF 3-6,9/11/17,254,22,0,14,3,6,6,NA,NA,NA,NA,NA,NA,9,3,0.21
SG,Wet,1,SG 2-1,7/15/17,196,13.5,8.5,20,20,12,12,NA,NA,NA,NA,NA,NA,40.5,13.5,0.89
SG,Wet,1,SG 2-1,7/26/17,207,14,9,20,20,15,15,3,3,NA,NA,NA,NA,47,11.75,0.9
SG,Wet,1,SG 2-1,8/4/17,216,14,9,20,20,16,16,4,4,NA,NA,NA,NA,49,12.25,0.91
SG,Wet,1,SG 2-1,8/12/17,224,14,7,20,20,16,16,4,4,NA,NA,NA,NA,47,11.75,0.87
SG,Wet,1,SG 2-1,8/20/17,232,14,5,20,19,16,14,4,4,NA,NA,NA,NA,42,10.5,0.78
SG,Wet,1,SG 2-1,9/2/17,245,14,0,20,1.5,16,8,4,4,NA,NA,NA,NA,13.5,3.38,0.25
SG,Wet,1,SG 2-1,9/11/17,254,14,0,20,0,16,8,5,5,NA,NA,NA,NA,13,3.25,0.24
SG,Wet,2,SG 2-2,7/15/17,196,21.5,7,17,17,22,22,NA,NA,NA,NA,NA,NA,46,15.33,0.76
SG,Wet,2,SG 2-2,7/26/17,207,21.5,7,17,17,22,22,NA,NA,NA,NA,NA,NA,46,15.33,0.76
SG,Wet,2,SG 2-2,8/4/17,216,21.5,6,15,15,21,21,14,14,4,4,NA,NA,60,12,0.79
SG,Wet,2,SG 2-2,8/12/17,224,21.5,5.5,15,15,21,21,14,14,6,6,NA,NA,61.5,12.3,0.79
SG,Wet,2,SG 2-2,8/20/17,232,21.5,5.5,15,15,21,20,14,14,6,6,NA,NA,60.5,12.1,0.78
SG,Wet,2,SG 2-2,9/2/17,245,21.5,0,15,14,21,15.5,14,10,7,7,NA,NA,46.5,9.3,0.59
SG,Wet,2,SG 2-2,9/11/17,254,21.5,0,15,0,21,0,14,10,8,8,NA,NA,18,3.6,0.23
SG,Wet,3,SG 2-3,7/15/17,196,8,5,11.5,11.5,12,12,7,7,4.5,4.5,NA,NA,40,8,0.93
SG,Wet,3,SG 2-3,7/26/17,207,8,5,11.5,11.5,12.5,12.5,7,7,4.5,4.5,NA,NA,40.5,8.1,0.93
SG,Wet,3,SG 2-3,8/4/17,216,8,5,11.5,11.5,12.5,12.5,7,7,5.5,5.5,NA,NA,41.5,8.3,0.93
SG,Wet,3,SG 2-3,8/12/17,224,8,3,11.5,11.5,12,12,7,7,5.5,5.5,NA,NA,39,7.8,0.89
