population,treatment,replicate,tag,date,curve_id,obs,photo_umol_m2_s,cond_mol_m2_s,ci_umol_mol,trans_mmol_m2_s,vpd_kpa,tleaf_c,tblock_c,tair_c,co2_ref_umol_mol,co2_sample_umol_mol,par_umol_m2_s,press_kpa,leaf_area_cm2
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,75,-0.407447967,0.179176203,53.5650753,3.672501809,1.933404744,24.49458504,15.03104401,15.65126991,51.48830795,51.58416367,1501.229858,92.76012421,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,76,9.423185822,0.17361687,293.4767446,3.571415672,1.938791645,24.35601425,15.03044319,15.62760544,399.723175,394.9598083,1500.383545,92.76711273,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,77,15.21622255,0.169359308,427.4038693,3.512324052,1.953137463,24.3333683,15.03244019,15.6216774,600.9885864,593.3823242,1500.471802,92.77011871,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,78,19.57259968,0.166952949,573.0992594,3.457918021,1.949929375,24.22547913,15.03064537,15.60545063,799.8875732,790.0806274,1501.390625,92.76862335,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,79,23.40382898,0.164449535,724.3130289,3.395094364,1.943023308,24.09091187,15.03177834,15.59046364,1000.255005,988.4898071,1500.4729,92.76821136,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,80,26.71359673,0.161064131,878.0586413,3.336056067,1.948112038,24.04481697,15.03310871,15.58825111,1200.511963,1187.026489,1500.614746,92.76621246,1.32
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,81,12.19453286,0.207536656,286.5552878,4.165678298,1.906717298,23.51775932,15.03414059,15.54850006,400.4983521,395.6573486,1500.302612,92.77281189,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,82,8.35189827,0.197434606,217.7520256,4.039914041,1.939498848,23.65066719,15.03394508,15.54269695,300.0481873,296.7081604,1500.516113,92.77475739,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,83,4.782269725,0.18977749,150.725843,3.942547032,1.965767354,23.75039673,15.03517818,15.53513145,200.4558563,198.509964,1500.393433,92.77215576,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,84,-0.096613204,0.181625042,97.24621919,3.830912271,1.992257403,23.86166191,15.03550911,15.5312252,99.90533447,99.80541992,1500.821777,92.77301025,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,85,-0.729394732,0.175332668,56.38893968,3.752274928,2.018545017,23.98048973,15.03607464,15.53162956,51.23091888,51.41853714,1500.661621,92.77493286,1.05
