population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
SG,Dry,4,SG 1-4,7/26/17,207,0.57,2.3488881832220447,0.531122319445733
SG,Dry,5,SG 1-5,7/26/17,207,0.56,2.1758994138663192,0.5036050608606268
SG,Dry,6,SG 1-6,7/26/17,207,0.59,2.737218072652074,0.5907496664735727
SG,Deep,1,SG 3-1,7/26/17,207,0.4,0.6398267148608073,0.21499017974621845
SG,Deep,2,SG 3-2,7/26/17,207,0.35,0.43646028309298035,0.1647768857859789
SG,Deep,3,SG 3-3,7/26/17,207,0.43,0.8048833673660827,0.25219241594420944
SG,Deep,4,SG 3-4,7/26/17,207,0.44,0.8688733580376395,0.26597234879651266
SG,Deep,5,SG 3-5,7/26/17,207,0.41,0.6906943401284741,0.22673736187188107
SG,Deep,6,SG 3-6,7/26/17,207,0.36,0.4711598315940518,0.17378038580496738
CF,Wet,1,CF 2-1,7/31/17,212,0.51,1.4842982515422911,0.38598262345111634
CF,Wet,2,CF 2-2,7/31/17,212,0.41,0.6906943401284741,0.22673736187188107
CF,Wet,3,CF 2-3,7/31/17,212,0.45,0.9379506931272403,0.28050522478829554
CF,Wet,4,CF 2-4,7/31/17,212,0.4,0.6398267148608073,0.21499017974621845
CF,Wet,5,CF 2-5,7/31/17,212,0.67,5.047747492438297,0.904147355956908
CF,Wet,6,CF 2-6,7/31/17,212,0.48,1.1799146468459667,0.32904428661736607
CF,Dry,1,CF 1-1,7/31/17,212,0.36,0.4711598315940518,0.17378038580496738
CF,Dry,2,CF 1-2,7/31/17,212,0.49,1.273720445681124,0.34702344811611796
CF,Dry,3,CF 1-3,7/31/17,212,0.64,4.012610803603205,0.7707718007556803
CF,Dry,4,CF 1-4,7/31/17,212,0.34,0.4043162552145069,0.156239853902715
CF,Dry,5,CF 1-5,7/31/17,212,0.43,0.8048833673660827,0.25219241594420944
CF,Dry,6,CF 1-6,7/31/17,212,0.45,0.9379506931272403,0.28050522478829554
CF,Deep,1,CF 3-1,7/31/17,212,0.24,0.18814207239578018,0.09177981116457241
CF,Deep,2,CF 3-2,7/31/17,212,0.28,0.25549360543072225,0.11354421851433938
CF,Deep,3,CF 3-3,7/31/17,212,0.29,0.27580590667960414,0.11974833730608354
CF,Deep,4,CF 3-4,7/31/17,212,0.43,0.8048833673660827,0.25219241594420944
CF,Deep,5,CF 3-5,7/31/17,212,0.43,0.8048833673660827,0.25219241594420944
CF,Deep,6,CF 3-6,7/31/17,212,0.36,0.4711598315940518,0.17378038580496738
TL,Wet,1,TL 2-1,7/31/17,212,0.4,0.6398267148608073,0.21499017974621845
TL,Wet,2,TL 2-2,7/31/17,212,0.62,3.443340592633413,0.6929739106319657
TL,Wet,3,TL 2-3,7/31/17,212,0.5,1.3749840109900042,0.36598500092614666
TL,Wet,4,TL 2-4,7/31/17,212,0.7,6.349919290586819,1.060602425364279
